Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,16047638,267434.518,0.5
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,16304562,271703.557,0.5
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,16028574,267114.354,0.5
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,14521619,241996.738,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,,,
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,,,
6,adjustAPPEND_16_fileserver.f,,,,,
7,adjustAPPEND_16_fileserver.f,,,,,
