06-03-2017_11-28-49
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjust_fileserver.f,50000,48.828MB,42546135,709059.636,0.1
0,adjust_fileserver.f,50000,48.828MB,40959292,682613.068,0.1
0,adjust_fileserver.f,50000,48.828MB,42157619,702583.166,0.1
0,adjust_fileserver.f,50000,48.828MB,42263164,704255.322,0.1
0,adjust_fileserver.f,50000,48.828MB,42397787,706588.342,0.1
1,adjust_fileserver.f,50000,97.656MB,41325783,688716.963,0.1
1,adjust_fileserver.f,50000,97.656MB,41454463,690866.403,0.1
1,adjust_fileserver.f,50000,97.656MB,40934197,682195.253,0.1
1,adjust_fileserver.f,50000,97.656MB,39968546,666101.202,0.1
1,adjust_fileserver.f,50000,97.656MB,40433676,673853.416,0.1
2,adjust_fileserver.f,50000,195.312MB,41094725,684870.181,0.1
2,adjust_fileserver.f,50000,195.312MB,41387109,689743.627,0.1
2,adjust_fileserver.f,50000,195.312MB,41529417,692113.497,0.1
2,adjust_fileserver.f,50000,195.312MB,41350363,689131.357,0.1
2,adjust_fileserver.f,50000,195.312MB,41603537,693351.283,0.1
3,adjust_fileserver.f,50000,390.625MB,39380064,656293.994,0.1
3,adjust_fileserver.f,50000,390.625MB,39537254,656942.577,0.1
3,adjust_fileserver.f,50000,390.625MB,39658573,660937.133,0.1
3,adjust_fileserver.f,50000,390.625MB,39380668,656305.701,0.1
3,adjust_fileserver.f,50000,390.625MB,39536963,658909.025,0.1
4,adjust_fileserver.f,50000,781.250MB,36295964,604896.097,0.1
4,adjust_fileserver.f,50000,781.250MB,36641288,608885.356,0.1
4,adjust_fileserver.f,50000,781.250MB,36231052,603814.336,0.1
4,adjust_fileserver.f,50000,781.250MB,36476764,607909.420,0.1
4,adjust_fileserver.f,50000,781.250MB,35963516,599355.982,0.1
5,adjust_fileserver.f,50000,1562.500MB,9952418,165861.946,0.9
5,adjust_fileserver.f,50000,1562.500MB,10007177,166774.100,0.9
5,adjust_fileserver.f,50000,1562.500MB,9228967,153805.138,1.0
5,adjust_fileserver.f,50000,1562.500MB,11403384,190042.229,0.8
5,adjust_fileserver.f,50000,1562.500MB,9747610,162448.698,0.9
6,adjust_fileserver.f,50000,3125.000MB,2685190,44749.643,3.3
6,adjust_fileserver.f,50000,3125.000MB,2252831,37544.352,4.0
6,adjust_fileserver.f,50000,3125.000MB,2324734,38305.385,3.9
6,adjust_fileserver.f,50000,3125.000MB,2397170,39949.694,3.7
6,adjust_fileserver.f,50000,3125.000MB,2107036,35114.748,4.2
7,adjust_fileserver.f,50000,6250.000MB,343627,5726.638,26.1
7,adjust_fileserver.f,50000,6250.000MB,363390,6031.304,24.7
7,adjust_fileserver.f,50000,6250.000MB,362464,6040.615,24.8
7,adjust_fileserver.f,50000,6250.000MB,354089,5868.010,25.5
7,adjust_fileserver.f,50000,6250.000MB,363314,6054.747,24.7
0,adjust_webserver.f,50000,48.828MB,45145635,752376.389,0.2
0,adjust_webserver.f,50000,48.828MB,46681050,777963.043,0.2
0,adjust_webserver.f,50000,48.828MB,45929059,765435.278,0.2
0,adjust_webserver.f,50000,48.828MB,45638359,760589.599,0.2
0,adjust_webserver.f,50000,48.828MB,45696636,761561.022,0.2
1,adjust_webserver.f,50000,97.656MB,45485695,757997.994,0.2
1,adjust_webserver.f,50000,97.656MB,46212017,770146.270,0.2
1,adjust_webserver.f,50000,97.656MB,46294044,771513.857,0.2
1,adjust_webserver.f,50000,97.656MB,46295055,771532.377,0.2
1,adjust_webserver.f,50000,97.656MB,45568318,759420.984,0.2
2,adjust_webserver.f,50000,195.312MB,45342528,755651.723,0.2
2,adjust_webserver.f,50000,195.312MB,44928610,748684.375,0.2
2,adjust_webserver.f,50000,195.312MB,44965249,749370.621,0.2
2,adjust_webserver.f,50000,195.312MB,44958197,749252.047,0.2
2,adjust_webserver.f,50000,195.312MB,45522005,758647.003,0.2
3,adjust_webserver.f,50000,390.625MB,44393001,739828.603,0.2
3,adjust_webserver.f,50000,390.625MB,46850137,780779.335,0.2
3,adjust_webserver.f,50000,390.625MB,49724991,828695.612,0.2
3,adjust_webserver.f,50000,390.625MB,49761782,829291.148,0.2
