Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,17737831,295586.740,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17492059,291491.623,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17160695,285979.730,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,15843170,264017.987,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14088047,234780.557,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12088548,201452.804,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,,,
7,adjustAPPEND_16_fileserver.f,,,,,
0,adjustAPPEND_16_webserver.f,,,,,
1,adjustAPPEND_16_webserver.f,,,,,
2,adjustAPPEND_16_webserver.f,,,,,
3,adjustAPPEND_16_webserver.f,,,,,
4,adjustAPPEND_16_webserver.f,,,,,
5,adjustAPPEND_16_webserver.f,,,,,
6,adjustAPPEND_16_webserver.f,,,,,
7,adjustAPPEND_16_webserver.f,,,,,
