Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,18112020,301808.318,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17916671,298589.142,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17433860,290530.186,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,16106623,268408.247,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14643284,244018.826,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12295750,204916.697,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,,,
7,adjustAPPEND_16_fileserver.f,,,,,
0,adjustAPPEND_16_webserver.f,,,,,
1,adjustAPPEND_16_webserver.f,,,,,
2,adjustAPPEND_16_webserver.f,,,,,
3,adjustAPPEND_16_webserver.f,,,,,
4,adjustAPPEND_16_webserver.f,,,,,
5,adjustAPPEND_16_webserver.f,,,,,
6,adjustAPPEND_16_webserver.f,,,,,
7,adjustAPPEND_16_webserver.f,,,,,
