gold_L2
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,58960.39
1,87380,16384,16384,62611.50
2,87380,16384,16384,60439.97
3,87380,16384,16384,55765.05
4,87380,16384,16384,61495.20
