level2-avg
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,50795.24
1,87380,16384,16384,52390.30
2,87380,16384,16384,53011.04
3,87380,16384,16384,52701.24
4,87380,16384,16384,49125.12
5,87380,16384,16384,54352.12
6,87380,16384,16384,54212.80
7,87380,16384,16384,48073.85
8,87380,16384,16384,50967.33
9,87380,16384,16384,52365.54
