host-avg
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,59107.67
1,87380,16384,16384,58795.40
2,87380,16384,16384,56984.94
3,87380,16384,16384,56954.43
4,87380,16384,16384,58699.82
5,87380,16384,16384,58496.82
6,87380,16384,16384,59404.30
7,87380,16384,16384,57656.98
8,87380,16384,16384,57904.54
9,87380,16384,16384,55936.44
