level1-avg
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,46326.78
1,87380,16384,16384,46629.09
2,87380,16384,16384,46900.33
3,87380,16384,16384,48994.47
4,87380,16384,16384,48650.42
5,87380,16384,16384,47284.90
6,87380,16384,16384,49810.99
7,87380,16384,16384,49432.77
8,87380,16384,16384,49555.71
9,87380,16384,16384,46602.30
