gold_L0
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,58130.29
1,87380,16384,16384,59118.45
2,87380,16384,16384,59720.19
3,87380,16384,16384,57944.44
4,87380,16384,16384,58670.55
