level1-avg
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,39591.72
1,87380,16384,16384,38401.23
2,87380,16384,16384,38649.33
3,87380,16384,16384,39405.54
4,87380,16384,16384,39808.34
5,87380,16384,16384,39650.04
6,87380,16384,16384,40097.17
7,87380,16384,16384,38175.12
8,87380,16384,16384,37398.60
9,87380,16384,16384,46655.00
