level1-avg-e1000
Run[#],RecvSockSize[B],SendSockSize[B],SendMsgSize[B],Throughput[MB/sec]
0,87380,16384,16384,39338.63
1,87380,16384,16384,46643.36
2,87380,16384,16384,45326.30
3,87380,16384,16384,45712.48
4,87380,16384,16384,26266.86
5,87380,16384,16384,47296.66
6,87380,16384,16384,36059.06
7,87380,16384,16384,40949.78
8,87380,16384,16384,39337.43
9,87380,16384,16384,39328.31
