new-level1-60G-raw-sda6-homeDir-2G
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1496269853.115335502,1496269860.715073983,7.59973859787,1496269866.836088291,1496270638.568819245,771.732731104
Run[1],1496270643.882577124,1496270653.984265795,10.1016886234,1496270657.562328398,1496271435.219229125,777.656900883
Run[2],1496271439.343604244,1496271449.951734835,10.608130455,1496271453.202543971,1496272229.685751646,776.483207703
Run[3],1496272233.667727279,1496272243.785278084,10.1175508499,1496272246.860811343,1496273025.052533864,778.191722631
Run[4],1496273029.243107998,1496273040.910525754,11.6674177647,1496273044.353743853,1496273819.244755580,774.891011715
