new-level2-60G-raw-sda7-homeDir
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1496213144.605290067,1496213151.475682378,6.87039232254,1496213155.988698480,1496213879.095843533,723.107145071
Run[1],1496213895.387527903,1496213903.111999115,7.72447109222,1496213905.984403204,1496214632.591134751,726.606731653
Run[2],1496214634.233608948,1496214641.776889486,7.5432806015,1496214644.735163915,1496215354.866596055,710.131432056
Run[3],1496215356.895847665,1496215366.025079430,9.12923192978,1496215368.884676289,1496216081.618943264,712.734266996
Run[4],1496216083.262207371,1496216093.603690185,10.3414828777,1496216096.595007589,1496216810.387128313,713.792120695
