new-host
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1496219045.029964421,1496219050.187114459,5.15715003014,1496219053.106557965,1496219387.763860513,334.657302618
Run[1],1496219390.455690953,1496219395.577187073,5.12149620056,1496219397.639847664,1496219501.511391805,103.871544123
Run[2],1496219503.816412529,1496219508.941473522,5.12506103516,1496219510.950052844,1496219615.025931192,104.075878382
Run[3],1496219617.951068461,1496219623.075390834,5.1243224144,1496219625.143254018,1496219729.146827162,104.003573179
Run[4],1496219731.741106898,1496219736.851706484,5.11059951782,1496219738.949882730,1496219841.756839077,102.806956291
