new-level1-60G-raw-sda6-homeDir
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1496195115.615395900,1496195121.039354359,5.42395853996,1496195123.154750187,1496195693.527323362,570.372573137
Run[1],1496195700.160553053,1496195707.577127805,7.41657471657,1496195709.710952425,1496196280.328139894,570.617187262
Run[2],1496196281.521996269,1496196287.496718360,5.97472214699,1496196289.565826674,1496196860.504373439,570.938546896
Run[3],1496196861.704894351,1496196867.732765052,6.02787065506,1496196869.770694261,1496197440.399062351,570.628368139
Run[4],1496197441.591110747,1496197447.844963328,6.25385260582,1496197449.922620167,1496198020.496459537,570.573839426
