new-level1-60G-raw-sda6
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1496194289.748838987,1496194295.796779031,6.04794001579,1496194297.831715238,1496194945.834541239,648.002825975
Run[0],1496193092.558976100,1496193098.224596056,5.66561985016,1496193101.248785488,1496193741.359557651,640.110772133
