host-all
Run[#],startDecomp,endDecomp,totalDecomp,startComp,endComp,totalComp
Run[0],1495927996.141474241,1495928001.193673660,5.05219936371,1495928008.435989802,1495928115.110122079,106.674132109
Run[1],1495928125.509812522,1495928130.803540525,5.29372787476,1495928132.826070643,1495928238.747403216,105.921332598
Run[2],1495928240.322667636,1495928245.686809650,5.36414194107,1495928247.858783677,1495928356.154758707,108.29597497
Run[3],1495928359.825279205,1495928365.135903987,5.31062483788,1495928367.181764656,1495928473.449098336,106.267333746
Run[4],1495928475.112673741,1495928480.134168639,5.02149486542,1495928482.149327342,1495928590.134990783,107.985663414
